case,seg_fold,overlap
case_4687,1,False
case_4693,3,False
case_4695,2,False
case_4697,0,False
case_4709,2,False
case_4750,3,False
case_4811,1,False
case_4816,2,False
case_4852,4,False
case_4859,1,False
case_4863,0,False
case_4864,2,False
case_4874,0,False
case_4888,1,False
case_4899,3,False
case_4906,0,False
case_4923,1,False
case_4924,3,False
case_4927,3,False
case_4939,2,False
case_4999,4,False
case_5004,0,False
case_5006,0,False
case_5011,2,False
case_5013,0,True
case_5014,0,True
case_5015,3,True
case_5016,4,True
case_5017,2,True
case_5032,2,True
case_5051,4,True
case_5057,0,True
case_5058,0,True
case_5063,1,True
case_5072,4,True
case_5104,0,True
case_5261,4,False
case_5300,3,True
case_5301,2,True
case_5303,3,True
case_5304,3,True
case_5305,3,True
case_5309,2,True
case_5311,4,False
case_5314,1,False
case_5315,2,True
case_5316,1,True
case_5317,1,True
case_5319,1,True
case_5329,3,True
case_5331,4,False
case_5334,0,True
case_5335,1,True
case_5340,4,True
case_5353,4,True
case_5357,3,False
